eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeam,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awayScore,homeScore
849,3,17:43,FLA,VGK,right,shot,VGK,-57.0,-27.0,O,slap,8475683.0,,
385,2,05:34,FLA,VGK,left,shot,VGK,74.0,-14.0,O,wrist,8475683.0,,
,1,02:32,FLA,VGK,right,pass,FLA,17.0,-38.0,N,,,,
,1,03:23,FLA,VGK,right,carry-in,FLA,9.0,36.0,N,,,,
,1,08:30,FLA,VGK,right,pass,FLA,83.0,-2.0,O,,,,
,3,08:42,FLA,VGK,right,pass,FLA,53.0,13.0,O,,,,
303,1,17:39,FLA,VGK,right,blocked-shot,FLA,81.0,6.0,D,,,,
932,3,19:16,FLA,VGK,right,hit,FLA,94.0,-31.0,O,,,,
395,2,09:15,FLA,VGK,left,shot,VGK,22.0,3.0,N,tip-in,8475683.0,,
530,2,13:47,FLA,VGK,left,takeaway,VGK,-94.0,6.0,D,,,,
509,2,08:43,FLA,VGK,left,takeaway,VGK,64.0,35.0,O,,,,
802,3,02:52,FLA,VGK,right,blocked-shot,VGK,-40.0,-1.0,D,,,,
536,2,15:06,FLA,VGK,left,takeaway,VGK,-92.0,26.0,D,,,,
,3,08:49,FLA,VGK,right,pass,FLA,65.0,28.0,O,,,,
,3,11:54,FLA,VGK,right,carry-in,VGK,-70.0,-3.0,D,,,,
21,1,02:36,FLA,VGK,right,takeaway,FLA,33.0,39.0,O,,,,
12,1,01:08,FLA,VGK,right,takeaway,VGK,-28.0,-26.0,O,,,,
60,1,02:57,FLA,VGK,right,shot,FLA,62.0,-20.0,O,wrist,8478499.0,,
,3,00:21,FLA,VGK,right,pass,FLA,98.0,26.0,O,,,,
373,2,01:53,FLA,VGK,left,shot,VGK,51.0,-3.0,O,wrist,8475683.0,,
513,2,09:34,FLA,VGK,left,hit,FLA,97.0,-17.0,D,,,,
644,3,01:14,FLA,VGK,right,shot,FLA,83.0,39.0,O,wrist,8478499.0,,
13,1,01:11,FLA,VGK,right,hit,FLA,-27.0,-30.0,D,,,,
,2,19:35,FLA,VGK,left,carry-in,FLA,-64.0,-11.0,O,,,,
543,2,16:55,FLA,VGK,left,takeaway,VGK,-13.0,-38.0,N,,,,
,2,06:03,FLA,VGK,left,pass,VGK,79.0,-1.0,O,,,,
618,2,15:30,FLA,VGK,left,blocked-shot,FLA,-69.0,5.0,D,,,,
835,3,13:37,FLA,VGK,right,shot,VGK,-35.0,0.0,O,wrist,8475683.0,,
67,1,03:57,FLA,VGK,right,shot,VGK,-45.0,-39.0,O,wrist,8475683.0,,
720,3,01:25,FLA,VGK,right,hit,VGK,-96.0,-15.0,O,,,,
218,1,16:17,FLA,VGK,right,takeaway,VGK,-7.0,24.0,N,,,,
836,3,13:41,FLA,VGK,right,goal,VGK,-71.0,1.0,O,wrist,8475683.0,2.0,4.0
930,3,18:35,FLA,VGK,right,hit,FLA,-96.0,-2.0,D,,,,
80,1,08:27,FLA,VGK,right,shot,FLA,80.0,-17.0,O,wrist,8478499.0,,
816,3,06:59,FLA,VGK,right,goal,VGK,-44.0,-6.0,O,wrist,8475683.0,2.0,3.0
383,2,05:24,FLA,VGK,left,shot,VGK,83.0,-4.0,O,wrist,8475683.0,,
228,1,19:25,FLA,VGK,right,hit,VGK,-90.0,-31.0,O,,,,
603,2,10:34,FLA,VGK,left,blocked-shot,VGK,46.0,-14.0,D,,,,
,2,05:52,FLA,VGK,left,carry-in,FLA,-81.0,35.0,O,,,,
805,3,03:14,FLA,VGK,right,shot,FLA,83.0,5.0,O,wrist,8478499.0,,
