eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
51,1,00:00,FLA,VGK,right,period-start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,00:00,FLA,VGK,right,faceoff,13.0,8478462.0,8477935.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,00:23,FLA,VGK,right,hit,13.0,,,89.0,31.0,O,8479314.0,8474565.0,,,,,,,,,,,,,,,,,,,,,,,,
9,1,00:27,FLA,VGK,right,hit,13.0,,,-14.0,40.0,N,8476393.0,8477478.0,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:32,FLA,VGK,right,hit,54.0,,,-86.0,36.0,O,8478434.0,8477935.0,,,,,,,,,,,,,,,,,,,,,,,,
53,1,00:51,FLA,VGK,right,blocked-shot,54.0,,,-85.0,-13.0,D,,,8477493.0,8476539.0,,,,,,,,,,,,,,,,,,,,,,
11,1,01:01,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
54,1,01:01,FLA,VGK,right,faceoff,13.0,8476905.0,8477493.0,-69.0,-22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,01:08,FLA,VGK,right,takeaway,54.0,,,-28.0,-26.0,O,,,,,,8475913.0,,,,,,,,,,,,,,,,,,,,
14,1,01:11,FLA,VGK,right,giveaway,54.0,,,-30.0,-23.0,O,,,,,,8476905.0,,,,,,,,,,,,,,,,,,,,
13,1,01:11,FLA,VGK,right,hit,13.0,,,-27.0,-30.0,D,8477932.0,8476905.0,,,,,,,,,,,,,,,,,,,,,,,,
15,1,01:20,FLA,VGK,right,hit,13.0,,,48.0,-40.0,O,8477409.0,8479980.0,,,,,,,,,,,,,,,,,,,,,,,,
55,1,01:29,FLA,VGK,right,shot-on-goal,13.0,,,73.0,27.0,O,,,,8479372.0,,,wrist,8478499.0,1.0,0.0,,,,,,,,,,,,,,,,
16,1,01:30,FLA,VGK,right,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
56,1,01:30,FLA,VGK,right,faceoff,54.0,8482113.0,8476448.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,01:41,FLA,VGK,right,missed-shot,54.0,,,-72.0,2.0,O,,,,8476448.0,wide-of-net,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
57,1,01:44,FLA,VGK,right,missed-shot,54.0,,,-74.0,8.0,O,,,,8478020.0,wide-of-net,,backhand,8475683.0,,,,,,,,,,,,,,,,,,
17,1,01:49,FLA,VGK,right,hit,13.0,,,-35.0,29.0,D,8479066.0,8474565.0,,,,,,,,,,,,,,,,,,,,,,,,
58,1,01:50,FLA,VGK,right,missed-shot,54.0,,,-39.0,32.0,O,,,,8474565.0,wide-of-net,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
18,1,01:56,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
59,1,01:56,FLA,VGK,right,faceoff,54.0,8482113.0,8478403.0,-69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
