Period,Time,X Coord,Y Coord,Score Diff,Action,Action Name
2,120,-67,40,-4,2,hit
3,157,83,3,1,4,pass
3,249,-38,34,-3,4,pass
1,668,3,9,4,4,pass
2,977,-57,47,0,4,pass
2,305,-62,-3,-4,4,pass
2,88,-67,23,3,4,pass
1,375,66,-40,3,0,shot
3,661,95,3,1,4,pass
3,89,3,-43,-4,0,shot
3,311,1,21,-1,4,pass
2,962,98,24,0,4,pass
2,463,-67,-46,0,4,pass
2,791,7,34,-1,4,pass
3,79,-74,28,-4,4,pass
1,290,7,14,0,4,pass
2,907,-21,11,4,4,pass
3,766,6,19,-4,4,pass
2,1158,-14,-49,-4,4,pass
1,76,34,49,0,4,pass
3,288,88,-10,0,0,shot
2,874,27,1,3,4,pass
2,63,20,-1,3,4,pass
3,734,12,-45,3,4,pass
2,564,56,-25,-4,4,pass
2,917,86,16,3,4,pass
2,82,-97,-2,0,4,pass
3,341,-45,-41,4,0,shot
3,198,9,-2,-2,4,pass
1,674,37,-7,1,4,pass
2,433,-72,15,0,4,pass
3,369,-87,-4,1,4,pass
3,590,-23,-44,-4,4,pass
3,259,38,-5,3,4,pass
1,193,-34,44,-1,4,pass
2,311,68,20,-1,4,pass
2,605,52,42,-4,4,pass
3,535,20,-4,4,4,pass
2,367,70,-6,-2,4,pass
2,633,-19,-25,-5,4,pass
1,1039,-40,28,-3,4,pass
3,204,20,-23,1,4,pass
2,489,7,14,-2,4,pass
2,72,91,13,4,0,shot
1,524,46,23,1,4,pass
3,979,-84,-29,-5,4,pass
2,245,-55,-7,3,4,pass
2,120,-13,-46,4,0,shot
3,790,1,44,2,4,pass
1,407,-28,46,-2,4,pass
1,860,-77,45,2,4,pass
3,388,-74,41,-2,4,pass
1,599,-38,-39,-4,4,pass
3,456,98,-39,4,0,shot
2,1061,60,43,-5,4,pass
3,1007,-47,-35,-3,4,pass
1,915,-18,-10,-1,4,pass
1,373,-25,-9,1,4,pass
3,282,40,-35,-2,0,shot
1,243,-12,35,0,4,pass
1,33,-34,-29,1,4,pass
1,1095,7,16,-5,4,pass
3,182,25,16,-2,4,pass
2,281,58,-39,1,0,shot
1,430,72,33,-5,4,pass
3,201,8,29,-3,4,pass
1,309,-85,-7,0,4,pass
1,677,-24,30,2,4,pass
2,483,89,-3,-4,4,pass
3,362,23,42,-1,4,pass
2,335,74,19,0,4,pass
3,63,-47,-30,2,0,shot
2,593,-6,-39,4,4,pass
3,770,-61,41,-3,4,pass
2,752,-3,44,4,4,pass
3,961,94,-24,-4,0,shot
3,310,-99,29,-1,4,pass
2,1154,-39,-23,-5,4,pass
3,499,-74,9,3,4,pass
1,1175,-81,-35,-5,4,pass
2,973,-82,42,-3,4,pass
1,588,-8,-37,0,4,pass
1,667,71,21,3,4,pass
1,63,57,12,2,4,pass
3,884,58,-44,3,4,pass
3,788,46,43,3,4,pass
3,689,-29,-33,1,4,pass
1,220,54,6,-4,4,pass
3,252,-49,-42,3,0,shot
2,1195,29,-47,3,4,pass
2,1064,66,17,3,4,pass
3,1010,47,13,-4,4,pass
2,927,-90,-35,-1,4,pass
3,871,-12,46,2,4,pass
3,785,12,-21,4,4,pass
3,660,60,30,0,4,pass
3,541,34,4,-3,4,pass
1,783,-25,-3,-3,4,pass
2,134,-43,-21,3,4,pass
1,131,-54,-23,-5,4,pass
3,565,-74,-34,-3,4,pass
3,655,-76,-21,-1,4,pass
3,228,-40,-43,-1,4,pass
2,534,-46,29,4,4,pass
1,1182,89,24,2,4,pass
3,150,-12,-35,3,0,shot
1,850,94,-26,-3,0,shot
2,789,-66,39,2,4,pass
2,1102,-7,13,2,4,pass
3,951,-54,38,0,4,pass
2,332,-31,-6,4,4,pass
1,599,88,19,-5,4,pass
3,555,59,-40,0,0,shot
1,879,29,0,-1,4,pass
1,480,60,-17,-2,4,pass
3,794,24,33,-1,4,pass
2,630,-19,48,-5,4,pass
3,769,-69,48,2,4,pass
3,67,27,25,-4,4,pass
2,1083,95,-42,1,0,shot
3,996,-51,-41,4,4,pass
2,37,-67,38,-2,2,hit
1,558,-19,-4,0,4,pass
2,150,-71,-3,3,4,pass
3,1076,-94,28,-5,4,pass
3,693,-43,-28,-2,4,pass
3,453,-2,-27,-3,4,pass
3,844,-10,-26,3,4,pass
1,386,-63,-7,1,4,pass
3,781,22,-36,3,4,pass
2,457,47,-22,-5,4,pass
1,1058,27,10,-1,4,pass
1,284,-25,8,2,4,pass
1,493,-67,-39,4,4,pass
2,675,-83,12,-1,4,pass
1,413,52,8,-4,4,pass
1,545,10,0,-5,4,pass
3,1009,22,20,3,4,pass
1,610,-57,30,2,4,pass
3,1179,-38,40,2,4,pass
1,300,34,20,3,4,pass
1,1135,63,5,-3,4,pass
1,293,15,7,-4,4,pass
1,722,-14,22,-1,4,pass
3,332,-96,-34,4,0,shot
3,932,84,20,4,4,pass
1,972,48,-8,1,4,pass
3,477,-11,4,3,4,pass
1,143,17,-13,1,4,pass
1,489,-67,41,3,4,pass
1,791,20,29,2,4,pass
2,933,93,43,-1,4,pass
1,327,96,48,-2,4,pass
1,795,57,26,4,4,pass
2,237,80,47,-4,4,pass
2,654,-31,6,3,4,pass
1,392,45,-29,4,0,shot
2,392,-20,25,4,4,pass
3,80,-17,-50,-2,0,shot
2,280,80,43,4,4,pass
1,549,-86,6,-5,4,pass
1,703,19,8,-5,4,pass
3,380,15,1,-5,4,pass
1,305,69,-40,0,0,shot
2,1034,-60,17,2,4,pass
1,1170,31,34,-5,4,pass
2,317,-32,33,-1,4,pass
2,842,88,-21,-3,4,pass
3,393,-72,9,-4,4,pass
1,1102,-89,-50,-5,4,pass
1,586,84,14,-4,4,pass
1,260,61,31,3,4,pass
2,721,27,-27,-5,4,pass
2,213,72,-43,-1,0,shot
2,204,-22,27,3,4,pass
1,99,-27,-36,3,0,shot
1,813,95,-3,-5,4,pass
3,986,-71,-20,-2,4,pass
3,1056,-16,9,-3,4,pass
1,925,-23,43,4,4,pass
3,1155,-53,16,-2,4,pass
2,910,56,-32,0,4,pass
3,682,53,41,1,4,pass
1,811,74,25,-2,4,pass
2,418,18,-48,4,0,shot
1,749,13,-10,4,4,pass
3,961,-6,-20,-3,4,pass
2,254,-59,-15,-1,4,pass
3,1073,97,3,3,4,pass
3,985,-93,-21,-3,4,pass
2,170,-96,-47,2,0,shot
1,671,10,-20,1,4,pass
2,435,99,-32,3,0,shot
3,1112,48,-3,2,4,pass
1,1028,66,-17,-5,4,pass
1,770,-70,-9,1,4,pass
3,908,67,9,1,4,pass
1,19,22,17,2,4,pass
1,571,-88,39,0,4,pass
1,1139,31,37,3,4,pass
2,558,97,39,-1,4,pass
3,640,39,-12,-3,4,pass
2,163,93,-1,2,0,shot
1,567,-50,-39,0,4,pass
2,1011,-83,16,-1,4,pass
1,883,-24,25,1,4,pass
1,142,-87,18,-4,2,hit
2,777,-97,-42,3,4,pass
2,161,37,48,-2,4,pass
1,587,-90,20,-5,4,pass
1,783,-93,-32,3,4,pass
2,52,-39,-2,-3,4,pass
1,995,39,-28,3,0,shot
2,811,41,-25,4,4,pass
3,614,-50,20,2,4,pass
1,380,51,-37,-1,0,shot
3,794,5,-9,-1,4,pass
2,791,14,-23,-3,4,pass
3,53,19,13,-3,4,pass
1,947,-68,-26,-3,4,pass
1,1079,28,-5,-3,4,pass
3,338,-69,1,-5,4,pass
3,155,-35,28,4,4,pass
