Period,Time,X Coord,Y Coord,Score Diff,Action,Action Name
1,498,91,33,2,3,blocked-shot
3,692,48,10,-1,3,blocked-shot
1,160,-35,0,4,3,blocked-shot
1,157,-43,34,1,3,blocked-shot
3,502,-12,36,2,3,blocked-shot
2,700,-19,-38,2,3,blocked-shot
3,79,-88,27,3,3,blocked-shot
1,825,-39,-28,1,3,blocked-shot
1,736,-20,20,-5,3,blocked-shot
2,896,49,24,-2,3,blocked-shot
3,462,-96,33,3,3,blocked-shot
3,213,-28,-48,2,3,blocked-shot
3,857,-79,6,0,3,blocked-shot
1,359,80,4,-3,3,blocked-shot
1,548,3,-33,-1,3,blocked-shot
2,344,-64,9,3,3,blocked-shot
1,1042,82,-26,4,3,blocked-shot
3,936,-69,-11,-3,3,blocked-shot
3,487,62,1,-1,3,blocked-shot
1,879,95,-20,-3,3,blocked-shot
3,924,-44,10,3,3,blocked-shot
3,60,34,34,-1,3,blocked-shot
3,297,-75,5,0,3,blocked-shot
2,70,28,-43,-4,3,blocked-shot
2,947,-18,32,0,3,blocked-shot
3,174,72,12,-5,3,blocked-shot
2,702,-63,-3,-4,3,blocked-shot
1,133,15,-1,-2,3,blocked-shot
2,1057,68,-35,-5,3,blocked-shot
3,139,72,46,-3,3,blocked-shot
1,717,80,-30,-1,3,blocked-shot
3,95,-59,-29,0,3,blocked-shot
2,580,62,-11,2,3,blocked-shot
1,942,-15,35,-4,3,blocked-shot
3,948,54,12,-4,3,blocked-shot
1,241,48,10,1,3,blocked-shot
2,821,77,42,2,3,blocked-shot
1,225,96,18,-2,3,blocked-shot
2,331,-45,-27,-1,3,blocked-shot
2,984,19,-17,-5,3,blocked-shot
3,1079,42,-17,1,3,blocked-shot
2,611,53,-22,4,3,blocked-shot
1,1194,55,34,-2,3,blocked-shot
3,198,-62,34,2,3,blocked-shot
3,735,-37,-45,-2,3,blocked-shot
3,135,-5,-46,2,3,blocked-shot
2,1011,65,30,2,3,blocked-shot
3,1035,64,14,-3,3,blocked-shot
1,331,-58,-46,1,3,blocked-shot
1,264,8,-33,2,3,blocked-shot
3,1016,-87,-5,0,3,blocked-shot
1,1153,49,-28,-3,3,blocked-shot
1,1004,90,24,-1,3,blocked-shot
3,633,-2,-43,-5,3,blocked-shot
2,108,98,39,0,3,blocked-shot
1,1103,-69,-23,-3,3,blocked-shot
2,273,68,34,1,3,blocked-shot
1,393,19,-25,-3,3,blocked-shot
3,64,55,18,-1,3,blocked-shot
2,766,-69,-5,-3,3,blocked-shot
1,455,-49,-6,-5,3,blocked-shot
2,123,61,-18,-4,3,blocked-shot
3,695,-35,-4,2,3,blocked-shot
3,1094,-25,26,-3,3,blocked-shot
1,590,-6,-16,-4,3,blocked-shot
2,1145,36,19,-3,3,blocked-shot
2,1045,61,-38,1,3,blocked-shot
1,722,-54,-24,1,3,blocked-shot
2,674,-74,41,1,3,blocked-shot
1,1138,88,-33,2,3,blocked-shot
2,1018,66,-25,-1,3,blocked-shot
1,842,-20,41,0,3,blocked-shot
2,86,61,-31,-3,3,blocked-shot
1,808,79,-44,-5,3,blocked-shot
2,837,34,-33,3,3,blocked-shot
2,1141,-56,34,4,3,blocked-shot
1,1096,42,38,-1,3,blocked-shot
1,1060,63,-15,0,3,blocked-shot
1,779,-2,-1,-3,3,blocked-shot
1,431,60,0,-2,3,blocked-shot
2,995,-22,-31,-3,3,blocked-shot
1,597,31,28,-4,3,blocked-shot
3,1035,78,27,-4,3,blocked-shot
2,898,73,45,-4,3,blocked-shot
1,784,-46,-23,-4,3,blocked-shot
2,119,28,-42,-1,3,blocked-shot
2,1080,46,45,0,3,blocked-shot
1,701,-75,-9,-3,3,blocked-shot
2,235,46,-2,3,3,blocked-shot
3,975,-29,40,2,3,blocked-shot
3,319,3,-32,1,3,blocked-shot
1,418,-98,8,4,3,blocked-shot
1,4,-48,-27,2,3,blocked-shot
2,453,-95,-16,3,3,blocked-shot
2,1010,86,-30,3,3,blocked-shot
