Period,Time,X Coord,Y Coord,Score Diff,Action,Action Name
2,493,79,-8,-1,1,takeaway
1,61,-28,39,-2,1,takeaway
2,399,98,4,-2,1,takeaway
2,283,17,20,2,1,takeaway
3,214,75,-35,-3,1,takeaway
2,1101,-29,11,2,1,takeaway
1,135,-12,-40,2,1,takeaway
2,44,29,-32,3,1,takeaway
2,1036,-90,-41,0,1,takeaway
2,777,-61,22,-4,1,takeaway
3,149,39,38,-4,1,takeaway
2,116,-20,-15,-2,1,takeaway
2,386,-85,19,0,1,takeaway
2,703,-30,30,-4,1,takeaway
3,1032,-60,-12,-5,1,takeaway
3,582,98,41,-2,1,takeaway
2,954,-61,31,0,1,takeaway
2,1148,31,47,3,1,takeaway
1,582,-11,-35,1,1,takeaway
1,965,83,-45,4,1,takeaway
1,1178,-12,7,4,1,takeaway
2,834,7,29,3,1,takeaway
3,1061,-21,-8,3,1,takeaway
2,764,-32,-13,-3,1,takeaway
2,746,-23,-24,0,1,takeaway
3,169,99,49,-4,1,takeaway
1,257,73,27,2,1,takeaway
3,402,-30,-2,1,1,takeaway
3,865,-41,-37,2,1,takeaway
1,1113,-89,-22,-4,1,takeaway
2,392,97,-21,1,1,takeaway
3,228,-70,-18,0,1,takeaway
3,205,-83,0,-4,1,takeaway
2,869,3,5,0,1,takeaway
2,425,-77,-40,-1,1,takeaway
2,1124,79,-44,-3,1,takeaway
3,493,-63,48,-1,1,takeaway
3,100,98,44,-4,1,takeaway
1,1171,52,-21,1,1,takeaway
2,600,-87,29,2,1,takeaway
2,85,19,7,1,1,takeaway
2,837,-31,-17,2,1,takeaway
3,445,66,27,-5,1,takeaway
1,190,39,18,4,1,takeaway
1,1077,-18,17,4,1,takeaway
1,1063,-20,23,-2,1,takeaway
3,332,44,47,4,1,takeaway
3,647,84,-18,1,1,takeaway
1,72,64,13,-4,1,takeaway
3,434,45,9,-1,1,takeaway
3,315,-1,22,0,1,takeaway
1,1068,-88,-1,-2,1,takeaway
2,451,-81,-42,-4,1,takeaway
3,408,44,22,-2,1,takeaway
1,649,11,24,-4,1,takeaway
1,68,82,-46,-1,1,takeaway
1,471,-81,1,4,1,takeaway
2,1053,-13,-7,4,1,takeaway
2,742,-19,-14,3,1,takeaway
3,358,67,-36,4,1,takeaway
2,929,-36,12,3,1,takeaway
3,80,-16,-4,2,1,takeaway
1,990,-84,-11,0,1,takeaway
1,46,65,31,2,1,takeaway
3,480,65,43,3,1,takeaway
1,155,-15,-15,-1,1,takeaway
2,490,78,46,3,1,takeaway
1,45,-20,-34,1,1,takeaway
1,1034,46,-7,-3,1,takeaway
2,337,6,41,-5,1,takeaway
3,207,-17,10,-3,1,takeaway
3,1089,32,19,-3,1,takeaway
2,606,-21,13,-4,1,takeaway
2,109,70,-21,4,1,takeaway
3,932,16,23,-2,1,takeaway
2,339,-21,1,-5,1,takeaway
3,296,-25,10,0,1,takeaway
1,664,49,21,-4,1,takeaway
1,449,77,22,-4,1,takeaway
1,210,75,45,-4,1,takeaway
2,1129,6,-35,3,1,takeaway
2,36,5,-29,-5,1,takeaway
1,1040,9,-42,-5,1,takeaway
3,1146,-81,-36,0,1,takeaway
2,328,-92,6,3,1,takeaway
1,807,93,40,-3,1,takeaway
1,1177,-88,-34,2,1,takeaway
3,769,-16,13,2,1,takeaway
1,859,19,-17,-5,1,takeaway
3,1097,-57,-8,-4,1,takeaway
1,1124,99,-37,-4,1,takeaway
3,220,39,-25,-4,1,takeaway
1,1133,-69,-49,3,1,takeaway
2,1103,83,25,1,1,takeaway
3,942,1,-14,-3,1,takeaway
2,793,-65,-2,3,1,takeaway
1,780,78,49,1,1,takeaway
1,380,-23,11,1,1,takeaway
1,322,63,15,-3,1,takeaway
3,898,-70,6,3,1,takeaway
2,68,-83,26,3,1,takeaway
3,637,85,-20,4,1,takeaway
3,1143,-54,-19,-2,1,takeaway
1,1066,46,-14,0,1,takeaway
3,978,36,20,-5,1,takeaway
2,675,40,42,-1,1,takeaway
3,1021,20,49,-3,1,takeaway
3,669,-36,-14,4,1,takeaway
1,490,64,-7,-5,1,takeaway
2,392,-17,-30,0,1,takeaway
2,658,88,4,-4,1,takeaway
2,838,70,-38,-3,1,takeaway
3,1102,80,-13,0,1,takeaway
2,1031,-2,46,0,1,takeaway
3,451,94,-10,-5,1,takeaway
3,686,65,9,-4,1,takeaway
2,837,-56,19,-4,1,takeaway
2,534,29,-44,-3,1,takeaway
1,200,97,12,-2,1,takeaway
1,500,-56,5,0,1,takeaway
1,120,-42,-38,1,1,takeaway
1,175,-33,10,-2,1,takeaway
1,1090,-35,-41,-1,1,takeaway
2,794,-48,-20,-5,1,takeaway
1,496,-51,-46,-1,1,takeaway
3,674,-62,18,1,1,takeaway
2,279,-70,40,-5,1,takeaway
1,680,24,18,1,1,takeaway
3,769,65,22,3,1,takeaway
2,1104,44,-12,1,1,takeaway
3,413,-30,30,-5,1,takeaway
2,614,6,36,-3,1,takeaway
1,632,-96,-34,-5,1,takeaway
2,122,-53,-28,-3,1,takeaway
1,1075,-27,-14,3,1,takeaway
3,849,52,19,4,1,takeaway
2,42,-62,-22,1,1,takeaway
2,1062,-91,23,1,1,takeaway
1,473,64,-11,1,1,takeaway
3,769,-34,-5,-2,1,takeaway
1,724,17,-38,-2,1,takeaway
3,287,-66,22,-3,1,takeaway
1,19,25,19,-5,1,takeaway
3,49,-19,-29,3,1,takeaway
1,1006,-61,-14,-5,1,takeaway
1,374,-95,48,0,1,takeaway
1,932,68,0,-5,1,takeaway
3,462,7,-29,2,1,takeaway
3,485,28,-40,-2,1,takeaway
3,887,-55,-16,-4,1,takeaway
1,1090,26,-32,-1,1,takeaway
1,296,41,-45,3,1,takeaway
3,578,30,-40,0,1,takeaway
3,515,-16,-32,3,1,takeaway
2,673,-41,-25,3,1,takeaway
3,97,55,-2,-2,1,takeaway
2,560,9,-46,0,1,takeaway
1,117,-99,35,3,1,takeaway
3,463,42,31,-2,1,takeaway
2,601,-60,-47,0,1,takeaway
1,19,55,-26,-3,1,takeaway
2,623,-69,-13,-5,1,takeaway
3,621,-31,-37,-4,1,takeaway
3,996,29,10,-1,1,takeaway
3,373,26,17,-2,1,takeaway
2,784,2,-38,-1,1,takeaway
1,1011,-94,33,1,1,takeaway
3,128,-41,1,2,1,takeaway
3,1193,-35,-8,-2,1,takeaway
2,100,38,-46,-1,1,takeaway
3,1000,58,45,-3,1,takeaway
2,468,-52,28,-3,1,takeaway
2,1094,98,-17,1,1,takeaway
2,781,73,-47,2,1,takeaway
2,391,32,22,3,1,takeaway
1,1013,80,44,1,1,takeaway
1,963,-92,-38,3,1,takeaway
3,562,-88,-22,-2,1,takeaway
3,546,-97,-38,3,1,takeaway
1,219,-68,-18,0,1,takeaway
2,82,-88,-32,0,1,takeaway
2,514,83,-47,3,1,takeaway
3,188,-73,20,1,1,takeaway
1,51,55,2,2,1,takeaway
2,491,1,-40,2,1,takeaway
2,603,-40,16,-5,1,takeaway
2,376,23,-26,2,1,takeaway
3,553,-69,-33,3,1,takeaway
2,1028,55,1,2,1,takeaway
1,512,-71,-17,1,1,takeaway
2,517,83,-15,-3,1,takeaway
3,1009,21,42,1,1,takeaway
3,108,-58,-49,-4,1,takeaway
2,1120,-80,16,-4,1,takeaway
3,190,73,-6,3,1,takeaway
2,880,-40,-6,-5,1,takeaway
3,788,85,-13,3,1,takeaway
2,400,45,-40,2,1,takeaway
2,1126,-4,-23,0,1,takeaway
3,900,-64,-45,2,1,takeaway
3,50,10,-40,-5,1,takeaway
2,247,-9,28,-2,1,takeaway
3,96,1,4,4,1,takeaway
3,927,-86,31,-5,1,takeaway
3,2,-37,2,2,1,takeaway
2,868,-13,-16,-4,1,takeaway
3,734,86,39,2,1,takeaway
1,116,-52,-36,3,1,takeaway
2,992,55,45,4,1,takeaway
2,94,-79,-15,2,1,takeaway
3,1094,-46,25,4,1,takeaway
2,455,-54,3,-5,1,takeaway
2,881,-17,12,2,1,takeaway
3,845,8,3,-1,1,takeaway
3,535,62,48,-2,1,takeaway
1,715,-84,47,-1,1,takeaway
2,942,31,6,0,1,takeaway
1,54,-95,2,3,1,takeaway
3,529,30,10,2,1,takeaway
1,380,-27,25,0,1,takeaway
3,832,94,49,3,1,takeaway
3,485,36,-10,-4,1,takeaway
1,30,-74,-29,2,1,takeaway
3,963,37,7,1,1,takeaway
1,934,-13,-11,0,1,takeaway
1,470,69,-44,3,1,takeaway
1,555,45,23,4,1,takeaway
1,273,-11,38,-4,1,takeaway
1,935,13,-42,-2,1,takeaway
3,272,49,45,-5,1,takeaway
2,995,65,-2,-1,1,takeaway
3,883,96,-37,3,1,takeaway
2,1141,60,-43,-4,1,takeaway
2,296,97,-49,1,1,takeaway
1,842,35,40,1,1,takeaway
1,362,-49,22,-5,1,takeaway
2,545,-61,-17,-3,1,takeaway
1,75,30,24,1,1,takeaway
3,759,-69,46,-2,1,takeaway
3,142,25,26,3,1,takeaway
1,296,32,-18,-2,1,takeaway
1,1194,-92,-45,-3,1,takeaway
3,482,-53,-24,2,1,takeaway
1,600,46,6,-1,1,takeaway
2,111,-75,47,2,1,takeaway
3,1128,-57,40,-5,1,takeaway
3,958,5,16,4,1,takeaway
2,912,70,24,3,1,takeaway
1,1160,-21,-27,-2,1,takeaway
1,716,-59,0,-5,1,takeaway
3,247,71,25,-2,1,takeaway
2,201,9,-17,-4,1,takeaway
1,389,-75,29,2,1,takeaway
2,617,29,5,2,1,takeaway
3,508,6,-24,4,1,takeaway
1,1150,47,-18,2,1,takeaway
1,1160,12,13,-5,1,takeaway
1,1041,91,-36,-2,1,takeaway
